browser,chromium,chromium,webkit,webkit,firefox,firefox
.ece,True,True,True,True,True,True
.edit,True,True,True,True,True,True
.edu,True,True,True,True,True,True
.egov,True,True,True,True,True,True
.email,True,True,True,True,True,True
.eml,True,True,False,False,True,True
.en,True,True,True,True,True,True
.enu,True,True,True,True,True,True
.eot,True,True,True,True,True,True
.ep,True,True,True,True,True,True
.epc,True,True,True,True,True,True
.epl,True,True,True,True,True,True
.eps,False,False,False,False,True,True
.epub,False,False,False,False,True,True
.err,True,True,True,True,True,True
.error,True,True,True,True,True,True
.errors,True,True,True,True,True,True
.es,True,True,True,True,True,True
.eu,True,True,True,True,True,True
.exclude,True,True,True,True,True,True
.exe,False,False,False,False,True,True
.extract,True,True,True,True,True,True
.f4v,True,True,False,False,True,True
.faces,True,True,True,True,True,True
.fcgi,True,True,True,True,True,True
.feed,True,True,True,True,True,True
.fil,True,True,True,True,True,True
.file,True,True,True,True,True,True
.filemtime,True,True,True,True,True,True
.files,True,True,True,True,True,True
.filesize,True,True,True,True,True,True
.film,True,True,True,True,True,True
.fla,True,True,False,False,True,True
.flv,True,True,False,False,True,True
.fopen,True,True,True,True,True,True
.form,True,True,True,True,True,True
.fpl,True,True,True,True,True,True
.fr,True,True,True,True,True,True
.framework,True,True,True,True,True,True
.fread,True,True,True,True,True,True
.fsockopen,True,True,True,True,True,True
.functions,True,True,True,True,True,True
.g,True,True,True,True,True,True
.geo,True,True,True,True,True,True
.getimagesize,True,True,True,True,True,True
.gif,False,True,False,True,True,True
.git,True,True,True,True,True,True
.go,True,True,True,True,True,True
.gpx,True,True,True,True,True,True
.grp,True,True,True,True,True,True
.gz,False,False,False,False,True,True
.h,True,True,True,True,True,True
.hml,True,True,True,True,True,True
.hmtl,True,True,True,True,True,True
.home,True,True,True,True,True,True
.hqx,True,True,False,False,True,True
.ht,True,True,True,True,True,True
.hta,True,True,True,True,True,True
.htaccess,True,True,True,True,True,True
.htc,True,True,True,True,True,True
.htlm,True,True,True,True,True,True
.htm,True,True,True,True,True,True
".htm,",True,True,True,True,True,True
.html,True,True,True,True,True,True
".html,",True,True,True,True,True,True
.html1,True,True,True,True,True,True
.htmll,True,True,True,True,True,True
.htmls,True,True,True,True,True,True
.htx,True,True,True,True,True,True
.i,True,True,True,True,True,True
